station_name,is_weekend,hour,avg_count
가야,False,1,0.4
가야,False,2,0.1
가야,False,3,0.1
가야,False,4,1.2
가야,False,5,76.7
가야,False,6,123.6
가야,False,7,276.2
가야,False,8,412.2
가야,False,9,256.2
가야,False,10,195.1
가야,False,11,210.5
가야,False,12,220.2
가야,False,13,216.3
가야,False,14,215.3
가야,False,15,230.1
가야,False,16,277.2
가야,False,17,311.5
가야,False,18,371.9
가야,False,19,174.1
가야,False,20,119.9
가야,False,21,105.5
가야,False,22,74.5
가야,False,23,43.2
가야,False,0,9.6
가야,True,1,0.2
가야,True,2,0.0
가야,True,3,0.0
가야,True,4,0.9
가야,True,5,52.7
가야,True,6,71.2
가야,True,7,98.1
가야,True,8,158.8
가야,True,9,191.8
가야,True,10,196.8
가야,True,11,202.5
가야,True,12,200.4
가야,True,13,197.7
가야,True,14,189.9
가야,True,15,208.2
가야,True,16,222.9
가야,True,17,213.6
가야,True,18,170.9
가야,True,19,123.7
가야,True,20,102.7
가야,True,21,94.2
가야,True,22,66.3
가야,True,23,43.9
가야,True,0,10.0
감전,False,1,0.3
감전,False,2,0.2
감전,False,3,0.0
감전,False,4,0.3
감전,False,5,49.7
감전,False,6,120.9
감전,False,7,387.8
감전,False,8,713.7
감전,False,9,273.7
감전,False,10,216.1
감전,False,11,208.5
감전,False,12,230.1
감전,False,13,243.6
감전,False,14,215.6
감전,False,15,235.2
감전,False,16,302.8
감전,False,17,486.1
감전,False,18,565.5
감전,False,19,151.6
감전,False,20,117.2
감전,False,21,87.6
감전,False,22,49.1
감전,False,23,22.9
감전,False,0,9.8
감전,True,1,0.2
감전,True,2,0.0
감전,True,3,0.0
감전,True,4,0.4
감전,True,5,33.4
감전,True,6,63.0
감전,True,7,87.9
감전,True,8,126.1
감전,True,9,144.0
감전,True,10,156.6
감전,True,11,162.5
감전,True,12,185.5
감전,True,13,165.4
감전,True,14,161.0
감전,True,15,149.0
감전,True,16,162.1
감전,True,17,158.5
감전,True,18,127.8
감전,True,19,81.2
감전,True,20,63.8
감전,True,21,64.2
감전,True,22,36.8
감전,True,23,23.9
감전,True,0,10.7
강서구청,False,1,0.1
강서구청,False,2,0.2
강서구청,False,3,0.0
강서구청,False,4,0.5
강서구청,False,5,38.3
강서구청,False,6,152.1
강서구청,False,7,298.2
강서구청,False,8,437.2
강서구청,False,9,155.9
강서구청,False,10,142.5
강서구청,False,11,159.0
강서구청,False,12,184.0
강서구청,False,13,176.6
강서구청,False,14,159.5
강서구청,False,15,180.2
강서구청,False,16,237.4
강서구청,False,17,319.5
강서구청,False,18,412.9
강서구청,False,19,122.0
강서구청,False,20,82.7
강서구청,False,21,54.7
강서구청,False,22,32.6
강서구청,False,23,12.9
강서구청,False,0,3.2
강서구청,True,1,0.2
강서구청,True,2,0.0
강서구청,True,3,0.0
강서구청,True,4,0.4
강서구청,True,5,35.8
강서구청,True,6,77.8
강서구청,True,7,84.7
강서구청,True,8,103.1
강서구청,True,9,131.9
강서구청,True,10,177.1
강서구청,True,11,205.0
강서구청,True,12,196.9
강서구청,True,13,219.1
강서구청,True,14,209.0
강서구청,True,15,212.8
강서구청,True,16,199.0
강서구청,True,17,173.7
강서구청,True,18,118.2
강서구청,True,19,76.2
강서구청,True,20,54.4
강서구청,True,21,37.4
강서구청,True,22,25.2
강서구청,True,23,12.4
강서구청,True,0,3.6
개금,False,1,0.2
개금,False,2,0.2
개금,False,3,0.0
개금,False,4,1.1
개금,False,5,117.6
개금,False,6,252.1
개금,False,7,629.5
개금,False,8,964.0
개금,False,9,621.9
개금,False,10,540.9
개금,False,11,536.0
개금,False,12,540.1
개금,False,13,554.9
개금,False,14,543.6
개금,False,15,598.4
개금,False,16,632.4
개금,False,17,822.8
개금,False,18,823.1
개금,False,19,368.7
개금,False,20,268.7
개금,False,21,211.5
개금,False,22,172.1
개금,False,23,106.0
개금,False,0,15.6
개금,True,1,0.4
개금,True,2,0.0
개금,True,3,0.0
개금,True,4,0.9
개금,True,5,81.7
개금,True,6,123.5
개금,True,7,182.3
개금,True,8,292.5
개금,True,9,363.2
개금,True,10,362.6
개금,True,11,401.6
개금,True,12,414.5
개금,True,13,416.9
개금,True,14,402.7
개금,True,15,411.5
개금,True,16,449.2
개금,True,17,435.5
개금,True,18,351.4
개금,True,19,257.4
개금,True,20,232.1
개금,True,21,189.6
개금,True,22,155.6
개금,True,23,103.1
개금,True,0,17.3
거제,False,1,0.1
거제,False,2,0.2
거제,False,3,0.1
거제,False,4,0.1
거제,False,5,58.8
거제,False,6,148.4
거제,False,7,374.7
거제,False,8,849.1
거제,False,9,492.0
거제,False,10,372.8
거제,False,11,387.9
거제,False,12,390.1
거제,False,13,367.4
거제,False,14,408.7
거제,False,15,418.9
거제,False,16,452.3
거제,False,17,589.3
거제,False,18,695.3
거제,False,19,266.1
거제,False,20,182.2
거제,False,21,146.9
거제,False,22,117.4
거제,False,23,52.9
거제,False,0,8.4
거제,True,1,0.3
거제,True,2,0.2
거제,True,3,0.1
거제,True,4,0.0
거제,True,5,35.3
거제,True,6,74.5
거제,True,7,108.3
거제,True,8,214.2
거제,True,9,246.8
거제,True,10,270.3
거제,True,11,313.9
거제,True,12,259.5
거제,True,13,298.4
거제,True,14,265.6
거제,True,15,297.6
거제,True,16,324.3
거제,True,17,285.2
거제,True,18,221.1
거제,True,19,184.4
거제,True,20,157.7
거제,True,21,128.6
거제,True,22,95.5
거제,True,23,51.1
거제,True,0,6.7
경성대부경대,False,1,0.1
경성대부경대,False,2,0.3
경성대부경대,False,3,0.0
경성대부경대,False,4,1.7
경성대부경대,False,5,108.3
경성대부경대,False,6,256.1
경성대부경대,False,7,709.7
경성대부경대,False,8,1769.9
경성대부경대,False,9,1453.1
경성대부경대,False,10,922.0
경성대부경대,False,11,852.2
경성대부경대,False,12,1057.3
경성대부경대,False,13,1073.5
경성대부경대,False,14,1049.8
경성대부경대,False,15,1167.4
경성대부경대,False,16,1470.9
경성대부경대,False,17,1670.3
경성대부경대,False,18,1838.7
경성대부경대,False,19,927.0
경성대부경대,False,20,712.1
경성대부경대,False,21,693.8
경성대부경대,False,22,581.0
경성대부경대,False,23,351.6
경성대부경대,False,0,52.7
경성대부경대,True,1,0.5
경성대부경대,True,2,0.1
경성대부경대,True,3,0.0
경성대부경대,True,4,1.5
경성대부경대,True,5,84.0
경성대부경대,True,6,156.4
경성대부경대,True,7,227.0
경성대부경대,True,8,460.2
경성대부경대,True,9,624.6
경성대부경대,True,10,636.6
경성대부경대,True,11,697.8
경성대부경대,True,12,809.3
경성대부경대,True,13,839.7
경성대부경대,True,14,847.5
경성대부경대,True,15,886.3
경성대부경대,True,16,1004.0
경성대부경대,True,17,982.4
경성대부경대,True,18,847.5
경성대부경대,True,19,682.6
경성대부경대,True,20,589.6
경성대부경대,True,21,583.1
경성대부경대,True,22,512.4
